episodes sampled,total violations,steps sampled,collect return,collect return (+bonus),collect length,collect safe,eval return mean,eval return std,eval length mean,eval length std
1,1,130,-220.378662109375,-220.378662109375,130,False,-111.04645891189575,66.11660611380381,224.2,157.714171842609
2,2,246,-184.70510864257812,-184.70510864257812,116,False,-46.91377704143524,47.419491321481125,98.2,58.07719001466928
3,3,262,-25.54698944091797,-25.54698944091797,16,False,-51.93355827331543,39.04297501003043,96.4,63.726289708408416
4,4,506,-375.5361022949219,-375.5361022949219,244,False,-135.21256546974183,99.93222720723904,250.2,170.49093817561095
5,5,579,-79.40525817871094,-79.40525817871094,73,False,-104.99348621368408,65.41777229053666,197.1,127.1121158662698
6,6,688,-158.71299743652344,-158.71299743652344,109,False,-84.76555442810059,49.41292745309965,178.4,106.92726499822204
7,7,817,-156.33462524414062,-156.33462524414062,129,False,-64.63541457653045,44.4210849508951,92.0,58.612285401611835
8,8,919,-160.26303100585938,-160.26303100585938,102,False,-71.42945990562438,43.895997012011456,120.5,87.4679941464305
9,9,992,-69.86756896972656,-69.86756896972656,73,False,-42.51678473949433,47.32790410970135,105.9,85.17329393653858
10,10,1152,-145.4085693359375,-145.4085693359375,160,False,-126.61923217773438,76.82825325012011,215.7,70.79272561499522
11,11,1178,-25.344451904296875,-25.344451904296875,26,False,-191.30092582702636,185.97314961816156,409.7,391.04425580744686
12,12,1250,-87.03389739990234,-87.03389739990234,72,False,-96.84090442657471,54.84207197420145,148.8,74.93036767559599
13,13,1442,-248.32940673828125,-248.32940673828125,192,False,-81.17658214569092,53.50284885559646,197.1,101.16862161757469
14,14,1481,-44.10460662841797,-44.10460662841797,39,False,-47.64493646621704,36.711854218709604,73.4,53.7237377701887
15,15,1582,-88.97525787353516,-88.97525787353516,101,False,-115.39677734375,87.8250188351301,223.2,187.5210921469902
16,16,1711,-152.30862426757812,-152.30862426757812,129,False,-82.76857433319091,61.8291982707525,171.5,127.51646952452847
17,17,1786,-94.88041687011719,-94.88041687011719,75,False,-132.08967723846436,78.65882311637182,225.2,166.4456668105241
18,18,1864,-92.58460998535156,-92.58460998535156,78,False,-79.84054813385009,61.729988036339144,137.9,109.14801876351216
19,19,1914,-79.70777893066406,-79.70777893066406,50,False,-125.44516162872314,89.07671347004846,266.9,163.05977431604643
20,19,2914,-1376.15576171875,-1376.15576171875,1000,True,-87.79578342437745,63.729573848153244,153.5,135.03129266951422
21,20,3015,-90.86720275878906,-90.86720275878906,101,False,-112.69061689376831,86.4594602913019,214.9,209.22449665371406
22,21,3041,-39.51823425292969,-39.51823425292969,26,False,-119.44815063476562,102.29773611079109,216.4,179.04814994855434
23,21,4041,-1348.32470703125,-1348.32470703125,1000,True,-84.94826850891113,48.13589744469693,114.2,73.45175287220857
24,22,4096,-83.86419677734375,-83.86419677734375,55,False,-67.7900203704834,46.7544029108253,106.8,71.89965229401321
25,23,4111,-21.93752670288086,-21.93752670288086,15,False,-71.84938011169433,52.787565499535475,139.2,104.29266513039161
26,24,4141,-31.219684600830078,-31.219684600830078,30,False,-82.65556507110595,64.88395007804107,164.4,128.10558145529805
27,25,4187,-69.86624145507812,-69.86624145507812,46,False,-82.8480827331543,47.71442054796082,126.4,64.08463154298384
28,26,4268,-126.80647277832031,-126.80647277832031,81,False,-100.52667064666748,76.51670879564456,164.2,128.56655863792886
29,27,4302,-76.50447082519531,-76.50447082519531,34,False,-132.81472053527833,64.91987217411543,230.4,130.57809923566816
30,28,4368,-101.97276306152344,-101.97276306152344,66,False,-85.40356941223145,43.94713319005548,167.0,125.47270619541128
31,29,4483,-120.30342864990234,-120.30342864990234,115,False,-61.787689781188966,40.08464688693207,108.5,79.68469112696616
32,30,4520,-74.89494323730469,-74.89494323730469,37,False,-101.58734035491943,92.68465679658858,173.3,157.6693058271013
33,31,4627,-154.65835571289062,-154.65835571289062,107,False,-69.10790395736694,52.150039019935264,112.7,81.05066316816908
34,31,5627,-1172.188232421875,-1172.188232421875,1000,True,-931.0190307617188,50.69016140922096,1000.0,0.0
35,31,6627,-1664.376953125,-1664.376953125,1000,True,-2169.2617065429686,124.73420753052568,1000.0,0.0
36,31,7627,-1827.4075927734375,-1827.4075927734375,1000,True,-1851.9948974609374,88.45695433712558,1000.0,0.0
37,31,8627,-1537.8038330078125,-1537.8038330078125,1000,True,-1467.9528686523438,168.3787745861432,1000.0,0.0
38,31,9627,-1618.744873046875,-1618.744873046875,1000,True,-1166.9210815429688,75.30858743825277,1000.0,0.0
39,31,10627,-1345.6119384765625,-1345.6119384765625,1000,True,-1078.6612915039063,21.14046684701143,1000.0,0.0
40,31,11627,-1080.374267578125,-1080.374267578125,1000,True,-1064.9607177734374,77.22720398184572,1000.0,0.0
41,31,12627,-744.5938720703125,-744.5938720703125,1000,True,-521.53369140625,16.01104194389011,1000.0,0.0
42,31,13627,-990.959228515625,-990.959228515625,1000,True,-679.6138854980469,20.69774216943497,1000.0,0.0
43,31,14627,-639.6417846679688,-639.6417846679688,1000,True,-831.0712890625,62.841679881925835,1000.0,0.0
44,31,15627,-639.5379638671875,-639.5379638671875,1000,True,-560.5278198242188,7.507835227026861,1000.0,0.0
45,31,16627,-497.166259765625,-497.166259765625,1000,True,-527.8241638183594,21.80521844493641,1000.0,0.0
46,31,17627,-531.5269775390625,-531.5269775390625,1000,True,-454.8577423095703,16.10554228858416,1000.0,0.0
47,31,18627,-460.94000244140625,-460.94000244140625,1000,True,-391.89841613769534,10.084302709787464,1000.0,0.0
